epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,2.85498,0.86518,3.6668,1.26651,0.74528,0.83333,0.88903,0.63727,1.43425,1.3636,1.27215,0,0,0,0,0,0,0,0
2,3.25349,1.40175,2.99065,1.65209,0.81439,0.83333,0.87506,0.64135,1.4515,1.35145,1.28025,2.86314e-06,9.5438e-07,2.86314e-06,9.5438e-07,2.86314e-06,9.5438e-07,2.86314e-06,9.5438e-07
3,3.56891,0.98612,3.0386,1.39928,0.78885,0.75,0.87514,0.63784,1.45741,1.37462,1.2785,4.31256e-06,1.43752e-06,4.31256e-06,1.43752e-06,4.31256e-06,1.43752e-06,4.31256e-06,1.43752e-06
4,4.02312,1.23583,3.01677,1.55745,0.74505,0.75,0.87536,0.6105,1.46901,1.40357,1.28959,4.34826e-06,1.44942e-06,4.34826e-06,1.44942e-06,4.34826e-06,1.44942e-06,4.34826e-06,1.44942e-06
5,4.39154,1.21942,3.47696,1.64006,0.70598,0.75,0.87496,0.59618,1.50001,1.43423,1.30738,2.97024e-06,9.9008e-07,2.97024e-06,9.9008e-07,2.97024e-06,9.9008e-07,2.97024e-06,9.9008e-07
