epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,8.02329,1.4356,3.69388,1.76522,0.78061,0.83333,0.87522,0.64579,1.42183,1.37998,1.26803,0,0,0,0,0,0,0,0
2,16.4367,1.43362,3.91498,1.76324,0.80175,0.75,0.87521,0.62908,1.44703,1.3909,1.28336,2.86314e-06,9.5438e-07,2.86314e-06,9.5438e-07,2.86314e-06,9.5438e-07,2.86314e-06,9.5438e-07
3,25.0455,1.17919,2.86396,1.37181,0.78249,0.75,0.87486,0.61828,1.47269,1.42462,1.29708,4.31256e-06,1.43752e-06,4.31256e-06,1.43752e-06,4.31256e-06,1.43752e-06,4.31256e-06,1.43752e-06
4,32.4241,1.11251,2.70407,1.39278,0.70436,0.75,0.87514,0.60671,1.49081,1.46225,1.30488,4.34826e-06,1.44942e-06,4.34826e-06,1.44942e-06,4.34826e-06,1.44942e-06,4.34826e-06,1.44942e-06
5,40.6841,1.04287,2.76037,1.23263,0.68252,0.75,0.87526,0.59876,1.51181,1.48753,1.31529,2.97024e-06,9.9008e-07,2.97024e-06,9.9008e-07,2.97024e-06,9.9008e-07,2.97024e-06,9.9008e-07
