epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,19.1658,1.4356,3.69388,1.76522,0.78061,0.83333,0.87522,0.64579,1.42183,1.37998,1.26803,0,0,0,0,0,0,0,0
2,36.6785,1.43362,3.91498,1.76324,0.80176,0.75,0.87521,0.62908,1.44702,1.39088,1.28336,2.86314e-06,9.5438e-07,2.86314e-06,9.5438e-07,2.86314e-06,9.5438e-07,2.86314e-06,9.5438e-07
3,52.8515,1.17919,2.86394,1.37181,0.78251,0.75,0.87486,0.61828,1.47268,1.42458,1.29708,4.31256e-06,1.43752e-06,4.31256e-06,1.43752e-06,4.31256e-06,1.43752e-06,4.31256e-06,1.43752e-06
4,69.037,1.1125,2.70409,1.39276,0.70441,0.75,0.87514,0.60671,1.49081,1.46224,1.30489,4.34826e-06,1.44942e-06,4.34826e-06,1.44942e-06,4.34826e-06,1.44942e-06,4.34826e-06,1.44942e-06
5,85.2571,1.04283,2.76031,1.2326,0.68257,0.75,0.87526,0.59876,1.51183,1.48754,1.3153,2.97024e-06,9.9008e-07,2.97024e-06,9.9008e-07,2.97024e-06,9.9008e-07,2.97024e-06,9.9008e-07
